year,month,cpi
2010,1,100.0
2010,2,101.96
2010,3,102.71
2010,4,102.85
2010,5,103.12
2010,6,103.34
2010,7,103.4
2010,8,103.63
2010,9,104.94
2010,10,105.99
2010,11,107.85
2010,12,109.83
2011,1,111.57
2011,2,113.66
2011,3,115.83
2011,4,119.15
2011,5,121.36
2011,6,122.45
2011,7,123.62
2011,8,124.55
2011,9,125.37
2011,10,125.73
2011,11,126.12
2011,12,126.65
2012,1,127.65
2012,2,129.02
2012,3,129.18
2012,4,129.23
2012,5,129.41
2012,6,129.15
2012,7,128.86
2012,8,129.49
2012,9,131.69
2012,10,132.54
2012,11,133.01
2012,12,133.28
2013,1,134.53
2013,2,135.85
2013,3,135.66
2013,4,135.68
2013,5,135.62
2013,6,135.67
2013,7,135.94
2013,8,136.77
2013,9,137.83
2013,10,138.32
2013,11,138.66
2013,12,139.17
2014,1,139.86
2014,2,140.41
2014,3,139.97
2014,4,140.05
2014,5,140.25
2014,6,141.63
2014,7,141.86
2014,8,142.08
2014,9,142.48
2014,10,142.59
2014,11,142.32
2014,12,142.08
2015,1,141.88
2015,2,141.83
2015,3,141.98
2015,4,142.12
2015,5,142.28
2015,6,142.63
2015,7,142.76
2015,8,142.69
2015,9,142.48
2015,10,142.59
2015,11,142.66
2015,12,142.68
2016,1,142.68
2016,2,143.1
2016,3,143.67
2016,4,144.0
2016,5,144.54
2016,6,145.0
2016,7,145.13
2016,8,145.23
2016,9,145.77
2016,10,146.6
2016,11,147.08
2016,12,147.31
2017,1,147.77
2017,2,148.0
2017,3,148.21
2017,4,148.21
2017,5,147.68
2017,6,147.51
2017,7,147.62
2017,8,148.54
2017,9,149.13
2017,10,149.54
2017,11,149.67
2017,12,149.88
2018,1,150.39
2018,2,151.12
2018,3,150.85
2018,4,150.93
2018,5,151.48
2018,6,152.09
2018,7,152.0
2018,8,152.45
2018,9,153.04
2018,10,153.37
2018,11,153.08
2018,12,152.83
2019,1,152.93
2019,2,153.73
2019,3,153.52
2019,4,153.83
2019,5,154.32
2019,6,154.23
2019,7,154.41
2019,8,154.69
2019,9,155.01
2019,10,155.6
2019,11,156.56
2019,12,157.96
2020,1,159.19
2020,2,159.02
2020,3,158.3
2020,4,156.76
2020,5,156.73
2020,6,157.39
2020,7,157.79
2020,8,157.86
2020,9,157.98
2020,10,158.07
2020,11,158.06
2020,12,158.16
2021,1,158.22
2021,2,159.74
2021,3,159.47
2021,4,159.43
2021,5,159.59
2021,6,159.76
2021,7,160.38
2021,8,160.63
2021,9,160.01
2021,10,159.81
2021,11,160.13
2021,12,159.95
2022,1,160.14
2022,2,161.14
2022,3,161.84
2022,4,162.02
